A reprodução assexuada é um tipo de reprodução que ocorre sem a conjugação de material genético. Existe um único progenitor que se divide por mitose. Os seres provenientes deste tipo de reprodução são geneticamente iguais ao organismo que os originou (a não ser que haja mutações) e são denominados clones. Assim que ocorre a maturação dos clones, estes passam a ter capacidade de produzir cópias de si próprios.	train	Reprodução assexuada
A reprodução assexuada existe em bactérias (um termo grego); e em eucariotontes unicelulares; e também em vários filos de invertebrados. Contudo, não está presente nos vertebrados. Este tipo de reprodução possui vantagens adaptativas: rapidez – num curto espaço de tempo ocorre um acentuado aumento da população; simplicidade – não há gastos de tempo e energia na procura de um parceiro; e homogeneidade – muitos indivíduos com características iguais. Porém, os organismos que se reproduzem assexuadamente possuem pouca variabilidade genética, pois se o biótopo se alterar, as populações poderão ser afectadas (devido à fraca capacidade adaptativa), podendo levar à sua extinção naquele local.	val	Reprodução assexuada
Entre os animais, um dos exemplos mais conhecidos é o da estrela-do-mar, que ao perder um dos seus braços, pode regenerar os restantes, formando-se uma nova estrela-do-mar a partir do braço seccionado. Nas plantas, a reprodução assexuada é também frequente, utilizando-se esta capacidade reprodutiva na agricultura. Por exemplo, as laranjas Bahia (sem sementes) provêm todas do mesmo clone (considerando clone o conjunto de todos os seres geneticamente idênticos, provenientes de um mesmo ser vivo), a partir de uma laranjeira mutante aparecida na região da Bahia, no Brasil. Efectivamente, esta árvore, ao não produzir sementes, só se pode reproduzir por enxerto ou estaca.	train	Reprodução assexuada
A expressão classificação científica, taxonomia ou classificação biológica, designa o modo como os biólogos agrupam e categorizam as espécies de seres vivos tanto extintas como actuais. A classificação científica moderna tem as suas raízes no sistema de Karl von Linnée (latim: Carolus Linnaeus), que agrupou as espécies de acordo com as características morfológicas por elas partilhadas. Estes agrupamentos foram subsequentemente alterados múltiplas vezes com o fim de melhorar a consistência entre a classificação e o princípio darwiniano da ascendência comum. O advento da sistemática molecular que utiliza a análise do genoma e os métodos da biologia molecular levou a profundas revisões da classificação de múltiplas espécies e é provável que as alterações taxonómicas continuem a ocorrer à medida que se caminha para um sistema de classificação assente na semelhança genética e molecular em detrimento dos critérios morfológicos. A classificação científica pertence à ciência da taxonomia ou sistemática biológica.	test	Classificação científica
A classificação das espécies não obedece a critérios rigidamente formais. Caso fosse aplicado aos primatas o mesmo critério científico usado para classificar os coleópteros, dos quais há mais de 300 mil espécies catalogadas, o ser humano (Homo sapiens) faria parte do género Pan, o mesmo género dos chimpanzés (Pan troglodytes) e dos bonobos (Pan paniscus).	train	Classificação científica
Assim a classificação biológica é um sistema organizativo que se rege por um conjunto de regras unificadores e de critérios que se pretendem universais, mas que, dada a magnitude do conjunto dos seres vivos e a sua inerente diversidade, são necessariamente adaptados a cada um dos ramos da biologia.	train	Classificação científica
Tradicionalmente, a classificação de plantas e de animais seguiu critérios diferenciados, hoje fixos no Código Internacional de Nomenclatura de algas, fungos e plantas e no Código Internacional de Nomenclatura Zoológica, respectivamente, reflectindo a história das comunidades científicas associadas. Outras áreas, como a micologia (que segue a norma botânica), a bacteriologia e a virologia, seguiram caminhos intermédios, adoptando muitos dos procedimentos usados nas áreas consideradas mais próximas.	val	Classificação científica
Nos últimos tempos, com o advento das técnicas moleculares e dos estudos cladísticos, as regras tendem apara a unificação, levando a uma rápida mutação dos sistemas classificativos e alterando profundamente a estrutura classificativa tradicional.	val	Classificação científica
A classificação científica é, por isso, um campo em rápida mutação, com frequentes e profundas alterações, em muitos casos quebrando conceitos há muito sedimentados. Nesta matéria, mais importante do que conhecer a classificação de uma qualquer espécie, importa antes conhecer a forma como o sistema se organiza. Até porque aquilo que é hoje uma classificação aceite em pouco tempo pode ser outra bem diferente.	train	Classificação científica
O sistema mais antigo de classificação de seres vivos que se conhece deve-se ao filósofo grego Aristóteles, que classificou todos os organismos vivos então conhecidos em plantas e animais. Os animais eram, por sua vez, subdivididos de acordo com o meio em que se moviam (terra, água e ar).	train	Classificação científica
Em 1172, o sábio Ibn Rushd (Averroes), que era juiz (Qaadi) em Sevilha, traduziu para a língua árabe e comentou o livro de Aristóteles intitulado De Anima (Sobre a alma). O seu trabalho original perdeu-se, mas conhece-se uma tradução para latim da autoria de Michael Scot. Foi através desta via que a classificação aristotélica chegou aos nossos dias e inspirou muitos dos trabalhos taxonómicos iniciais.	train	Classificação científica
A exploração de novos territórios que se seguiu aos Descobrimentos trouxe para a Europa centenas de novas espécies de plantas e animais, desafiando os velhos sistemas de classificação e identificação. Por outro lado, a curiosidade pela ciência que o Renascimento europeu despertou levou à constatação de que, mesmo na Europa, existiam muitos milhares de seres vivos distintos, a maior parte dos quais não descritos nem catalogados.	train	Classificação científica
