teoria celular conhecimento fundamental biologia universalmente aceitar teoria celular afirmar ser vivo composto célula unidade estrutural organizacional básico organismo célula célula	train	Teoria celular
descoberta célula graças invenção microscópio durante século i romano produz vidro testar diferente tipo vidro transparente descobrir certo lente postas objeto parecer lente popularizar volta ano Itália invenção óculos provavelmente levar uso amplo microscópio simples época começar primeiro experiência combinação lente aplicação instrumento ampliação imagem resultar criação microscópio compor	test	Teoria celular
Robert hooke usar microscópio cerca centímetro comprimento lente convexo examinar espécimes luz refletir observação livro micrographiar Hooke usar microscópio simples único lente examinar espécimes luz direto permitir imagem	val	Teoria celular
microscópio óptico focar objeto tamanho comprimento onda restringir descoberta objeto pequeno comprimento onda luz visível desenvolvimento microscópio eletrônico década possibilitar visualização objeto pequeno comprimento onda óptico abrir possibilidade	test	Teoria celular
cientista inglês Robert hooke utilizar microscópio rudimentar observar fatia fino cortiça constatar cortiça formar cavidade preenchir ano hooke publicar obra micrographia descrever unidade microscópico observar cunhar termo célula latim cella significar pequeno	train	Teoria celular
hooke entanto desconhecer real estrutura função hooke acreditar ser célula ser verdade parede celular vazio célula vegetal matar microscópio baixa ampliação época hooke conseguir haver componente interno célula observação célula dar indicação núcleo organela encontrar célula	train	Teoria celular
outro cientista realizar observação microscópico célula anton van leeuwenhoek uso microscópio lente aprimorar poder ampliar objeto cerca microscópio leeuwenhoek observar organismo dotar motilidade ser vivo escrever artigo descrever diferentes microorganismo específico chamar animálculo incluir protozoário muito educação formal realizar descrição precisar glóbulo vermelho observar espermatozoide descoberta leeuwenhoek perceber processo fertilização requerer encontro espermatozoide óvulo pôr teoria anterior geração espontâneo ler carta leeuwenhoek hooke confirmar observação considerar improvável	train	Teoria celular
célula tecido animal observar vegetal tecido ser frágel dificultar preparo fatia fino estudo biólogo acreditar haver unidade fundamental vida ter cem ano unidade fundamental conectar estrutura celular existência célula animal planta	val	Teoria celular
zoólogo alemão theodor schwann publicar obra investigação microscópico estrutura crescimento animal planta sugerir tecido animal vegetal formar basear fato presença núcleo tipo célula obediência processo básico comum formação comandar núcleo	train	Teoria celular
conclusão Schleiden schwann considerar formulação oficial hoje teoria celular avanço campo biologia saber estrutura animal comparação planta	val	Teoria celular
